time,omega_true,omega_sensor,current_true,current_sensor,voltage,temp_sensor,omega_kalman,innovation,attack_active,fault_active,RUL,run_id,scenario_id
0.0,2.4000000000000004,2.378168677967416,5.88,5.851994816142104,12.0,25.245594854196284,2.379748368418399,-0.02183132203258431,0,0,7.98,0,0
0.02,4.32,4.225583410899566,5.784,5.767852198728117,12.0,26.111083822746522,4.2740532341647635,-0.07821528383515375,0,0,7.960000000000001,0,0
0.04,5.856000000000001,5.778188646843276,5.7072,5.70195578051067,12.0,27.39803221235039,5.8106836210611235,-0.041053940488534835,0,0,7.94,0,0
0.06,7.084800000000001,7.205714362925609,5.64576,5.651915264720614,12.0,29.316209786957014,7.069453158491598,0.15716746607670995,0,0,7.920000000000001,0,0
0.08,8.06784,8.069212566766643,5.596608,5.631745440967862,12.0,31.75164471737723,8.056861066789484,0.013650039973363448,0,0,7.9,0,0
0.1,8.854272,8.859321747062106,5.5572864,5.556042045180174,12.0,34.18367835345935,8.84652398444175,0.013832893630517873,0,0,7.880000000000001,0,0
0.12,9.4834176,9.573094834935489,5.52582912,5.518105132414006,12.0,38.099072109230406,9.483314543959782,0.09587564738208698,0,0,7.86,0,0
0.14,9.98673408,9.85670914969172,5.500663296,5.503470864034864,12.0,42.9463551853723,9.979216837788938,-0.12994248547610532,0,0,7.840000000000001,0,0
0.16,10.389387264,10.379236583591197,5.4805306368,5.467054967882322,12.0,46.8231160702382,10.383151797550765,-0.004136886639953374,0,0,7.82,0,0
0.18,10.7115098112,10.706249657771167,5.46442450944,5.458137928595088,12.0,52.05721154057188,10.706507441901262,-0.00027178026944518763,0,0,7.800000000000001,0,0
0.2,10.96920784896,10.821600291778186,5.451539607552,5.479822063520535,12.0,55.64872864155113,10.957983285076486,-0.14360566174282496,0,0,7.78,0,0
0.22,11.175366279168,11.329078575622502,5.4412316860416,5.468507192295777,12.0,61.25715830111447,11.17445619928022,0.16269194756131178,0,0,7.760000000000001,0,0
0.24,11.3402930233344,11.31977364239902,5.43298534883328,5.453365800417614,12.0,66.29760912654213,11.338591257025785,-0.01979131702515602,0,0,7.74,0,0
0.26,11.47223441866752,11.450897067038968,5.426388279066624,5.408860006062345,12.0,71.53242597064221,11.469894865641637,-0.019975938581660913,0,0,7.720000000000001,0,0
0.28,11.577787534934016,11.646157036819352,5.421110623253299,5.4096703954515855,12.0,76.58517305728977,11.57934585698216,0.070241144306042,0,0,7.7,0,0
0.3,11.662230027947214,11.692895077849006,5.416888498602639,5.390720247338338,12.0,81.79414774310997,11.664910929559518,0.029418392263277582,0,0,7.680000000000001,0,0
0.32,11.729784022357771,11.789661987654837,5.413510798882111,5.436762720083728,12.0,86.72349821646968,11.734740823565403,0.05773324400722224,0,0,7.66,0,0
0.34,11.783827217886216,11.707302273827292,5.4108086391056895,5.391330275848858,12.0,92.73350381840297,11.783874225483748,-0.08049038502503159,0,0,7.640000000000001,0,0
0.36,11.827061774308973,11.884430870834032,5.408646911284551,5.38402740107827,12.0,98.6340510217609,11.829889523903324,0.05733149044703367,0,0,7.62,0,0
0.38,11.861649419447179,11.755290280398926,5.406917529027641,5.410012929966765,12.0,103.91766955722602,11.858626312848823,-0.1086213387237347,0,0,7.6000000000000005,0,0
0.4,11.889319535557743,11.797125479540242,5.4055340232221125,5.445140589375097,12.0,109.30472204186113,11.882533199221234,-0.08977557073881748,0,0,7.58,0,0
0.42,11.911455628446195,11.800694415842518,5.40442721857769,5.365461351225331,12.0,114.8075435702275,11.90090214441644,-0.10533214353447029,0,0,7.5600000000000005,0,0
0.44,11.929164502756956,12.023002325101576,5.403541774862152,5.436538929247543,12.0,120.0093582884126,11.925697498784078,0.10228060956842278,0,0,7.54,0,0
0.46,11.943331602205564,12.060785855220047,5.402833419889721,5.408216486860249,12.0,125.75372304568782,11.94640676752771,0.12022785619278409,0,0,7.5200000000000005,0,0
0.48,11.954665281764452,12.21631144472149,5.402266735911778,5.394273852696451,12.0,131.30366086596038,11.96973398338429,0.2591860306993219,0,0,7.5,0,0
0.5,11.963732225411562,11.969330337504312,5.401813388729422,5.437025072171311,12.0,136.78289892706658,11.975473083836167,-0.006456849203120285,0,0,7.48,0,0
0.52,11.970985780329249,11.892670246309672,5.4014507109835375,5.382140073890586,12.0,143.07346351393244,11.976111789251965,-0.08770822075926255,0,0,7.460000000000001,0,0
0.54,11.9767886242634,12.040428814233714,5.40116056878683,5.403837391668004,12.0,147.41057738159537,11.983785793693555,0.059539382832141996,0,0,7.44,0,0
0.56,11.98143089941072,11.866130160149334,5.400928455029464,5.38550057084636,12.0,153.44948846342623,11.9811473962973,-0.12089847480551086,0,0,7.42,0,0
0.58,11.985144719528575,12.059565426597649,5.400742764023571,5.41937524554525,12.0,159.22132596824892,11.98854922407392,0.07464750955980826,0,0,7.4,0,0
0.6,11.98811577562286,11.861115269803097,5.400594211218857,5.394346716149645,12.0,164.34935257581012,11.984528815585618,-0.1297241094560384,0,0,7.380000000000001,0,0
